code,name,city
AJL,Lengpui Airport,Aizawl
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar
BBI,Biju Patnaik Airport,Bhubaneswar
BDQ,Vadodara Airport,Vadodara
BEP,Bellary Airport,Bellary
BHO,Raja Bhoj International Airport,Bhopal
BKB,Nal Airport,Bikaner
BLR,Kempegowda International Airport,Bangalore
BOM,Chhatrapati Shivaji International Airport,Mumbai
CCJ,Calicut International Airport,Calicut
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata
CJB,Coimbatore International Airport,Coimbatore
COK,Cochin International Airport,Kochi
DED,Dehradun Airport,Dehradun
DEL,Indira Gandhi International Airport,Delhi
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati
GOI,Dabolim Airport,Goa
GWL,Gwalior Airport,Gwalior
HYD,Rajiv Gandhi International Airport,Hyderabad
IDR,Devi Ahilyabai Holkar Airport,Indore
IMF,Imphal Airport,Imphal
ISK,Nashik Airport,Nasik
IXA,Agartala Airport,Agartala
IXB,Bagdogra Airport,Siliguri
IXC,Chandigarh Airport,Chandigarh
IXD,Allahabad Airport,Allahabad
IXE,Mangalore International Airport,Mangalore
IXG,Belgaum Airport,Belgaum
IXJ,Jammu Airport,Jammu
IXL,Leh Kushok Bakula Rimpochee Airport,Leh
IXR,Birsa Munda Airport,Ranchi
IXS,Silchar Airport,Silchar
IXU,Aurangabad Airport,Aurangabad
IXW,Sonari Airport,Jamshedpur
IXZ,Vir Savarkar International Airport,Port Blair
JAI,Jaipur International Airport,Jaipur
JDH,Jodhpur Airport,Jodhpur
KNU,Kanpur Airport,Kanpur
KQH,Kishangarh Airport,Ajmer
LKO,Chaudhary Charan Singh International Airport,Lucknow
MAA,Chennai International Airport,Chennai
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur
PAT,Lok Nayak Jayaprakash Airport,Patna
PNQ,Pune Airport,Pune
PNY,Pondicherry Airport,Pondicherry
SHL,Shillong Airport,Shillong
SXR,Sheikh ul Alam Airport,Srinagar
TRV,Trivandrum International Airport,Thiruvananthapuram
TRZ,Tiruchirapally Civil Airport Airport,Tiruchirappally
UDR,Maharana Pratap Airport,Udaipur
VNS,Lal Bahadur Shastri Airport,Varanasi
